Field=LibRef~String~LibRef~69|Field=Description~String~Description~44|Field=Designator~String~Designator~520|Field=Value~String~Value~66|Field=Dielectric~String~Dielectric~77|Field=DocumentNumber~String~DocumentNumber~80|Field=Model~String~Model~102|Field=Pitch~String~Pitch~20|Field=Quantity~Integer~Quantity~20|Field=Voltage~String~Voltage~20|Field=Working voltage~String~Working voltage~28|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~up_down_converter.PrjPcb|ReportField=ProjectFullPath~C:\ownclowd\MySkyShared\Hardware_design\RF_front_end\up_down_converter.PrjPcb|ReportField=Title~BOM_PartType For Project [up_down_converter.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~802|ReportField=ReportTime~8:18:53 AM|ReportField=ReportDate~27/11/2018|ReportField=ReportDateTime~27/11/2018 8:18:53 AM|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~19|ReportField=Time~|ReportField=Title~TOP|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~up_down_converter.PrjPcb|ReportField=DataSourceFullPath~C:\ownclowd\MySkyShared\Hardware_design\RF_front_end\up_down_converter.PrjPcb
minicircuits_CBP-1820F+|Mini-Circuits band pass filter 1680-1960 MHz|BPF1, BPF5|||3, 18|||2||
minicircuits_BPF-A410+|Mini-Circuits band pass filter 365-465 MHz|BPF2, BPF6|||3, 18|||2||
minicircuits_CBP-2250A+|Mini-Circuits band pass filter 2000-2500 MHz|BPF3, BPF7|||3, 17|||2||
minicircuits_CBP-F1950+|Mini-Circuits band pass filter 1450-2450MHz|BPF4|||3|||1||
minicircuits_BPF-F1950+|Mini-Circuits band pass filter 1450-2450MHz|BPF8|||17|||1||
Capacitor|Capacitor|C10, C161|18pF||4, 17|||2||
Capacitor|Capacitor|C11, C162|5.6pF||4, 17|||2||
Capacitor|Capacitor|C12, C16, C17, C72, C73, C116, C117, C123, C147, C148, C156, C169, C172, C175, C185, C189, C191|4.7uF|X5R|4, 4, 4, 5, 5, 3, 3, 3, 18, 18, 18, 17, 17, 17, 16, 16, 16|||17||
Capacitor|Capacitor|C13, C165|100nF||4, 17|||2||
Capacitor|Capacitor|C14, C166|1nF||4, 17|||2||
Capacitor|Capacitor|C15, C21, C36, C76, C124, C129, C152, C155, C160, C163, C168, C174, C186, C195, C206|10uF|X5R|4, 4, 4, 5, 3, 3, 18, 18, 18, 17, 17, 17, 16, 16, 16|||15||
Capacitor|Capacitor|C18, C74, C118, C149, C176, C192|10nF|X5R|4, 5, 3, 18, 17, 16|||6||
Capacitor|Capacitor|C19, C20, C30, C35, C67, C70, C71, C88, C89, C119, C120, C126, C127, C150, C151, C157, C158, C167, C170, C171, C182, C187, C190, C202, C203|10nF|X7R|4, 4, 4, 4, 5, 5, 5, 5, 5, 3, 3, 3, 3, 18, 18, 18, 18, 17, 17, 17, 17, 16, 16, 16, 16|||25||
Capacitor|Capacitor|C22, C77, C141, C153, C164, C196|4.7uF|X5R|4, 5, 7, 18, 17, 16|||6||
Capacitor|Capacitor|C23, C121, C154, C205|100nF|X5R|4, 3, 18, 16|||4||
